date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:55	1777/1777	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2226ba13e0c9f4ab536faacf80b181c7fa%22	https://website6237582.nicepage.io/robots.txt		(from )
20:30:55	21387/21387	---M-Z	200	added ('OK')	text/html	etag:W/%22df86a1518b3af9f73e8bc2e8d29725fd%22	https://website6237582.nicepage.io/	C:/Users/Armando/Desktop/eliana.github.io/aaaa/website6237582.nicepage.io/index.html	(from )
20:30:57	672700/672700	---MCZ	200	added ('OK')	text/css	etag:W/%22336df9d4182f1db5e0c1fe74f5786f54%22	http://capp.nicepage.com/d114f428bfaaeaa714a5b288adc02c82ccd03c41/nicepage.css	C:/Users/Armando/Desktop/eliana.github.io/aaaa/capp.nicepage.com/d114f428bfaaeaa714a5b288adc02c82ccd03c41/nicepage.css	(from https://website6237582.nicepage.io/)
20:30:57	904167/904167	---M-Z	200	added ('OK')	text/css	etag:W/%22132af6036372e87c7db05ca91f83d27f%22	https://website6237582.nicepage.io/nicepage-site.css	C:/Users/Armando/Desktop/eliana.github.io/aaaa/website6237582.nicepage.io/nicepage-site.css	(from https://website6237582.nicepage.io/)
20:30:58	18694/18694	---M-Z	200	added ('OK')	text/css	etag:W/%22e3cc919cf764ccde762da3a080f92c42%22	https://website6237582.nicepage.io/Home.css	C:/Users/Armando/Desktop/eliana.github.io/aaaa/website6237582.nicepage.io/Home.css	(from https://website6237582.nicepage.io/)
20:31:00	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/Users/Armando/Desktop/eliana.github.io/aaaa/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://website6237582.nicepage.io/)
20:31:01	373052/373052	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22be1d11ddf3f16504fed6ef0d093aa306%22	http://capp.nicepage.com/d114f428bfaaeaa714a5b288adc02c82ccd03c41/nicepage.js	C:/Users/Armando/Desktop/eliana.github.io/aaaa/capp.nicepage.com/d114f428bfaaeaa714a5b288adc02c82ccd03c41/nicepage.js	(from https://website6237582.nicepage.io/)
20:31:01	12934/12934	---M--	200	added ('OK')	image/png	etag:%22c77599d36d161c33069a19bb3ad1c9ef%22	https://assets.nicepagecdn.com/c162bf5e/6237582/images/NewlogoB.png	C:/Users/Armando/Desktop/eliana.github.io/aaaa/assets.nicepagecdn.com/c162bf5e/6237582/images/NewlogoB.png	(from https://website6237582.nicepage.io/)
20:31:01	9588/9588	---M--	200	added ('OK')	image/png	etag:%22d591649d7b872e6a0a3108a08f754796%22	https://assets.nicepagecdn.com/c162bf5e/6237582/images/instagram_logo_icon_181283.png	C:/Users/Armando/Desktop/eliana.github.io/aaaa/assets.nicepagecdn.com/c162bf5e/6237582/images/instagram_logo_icon_181283.png	(from https://website6237582.nicepage.io/)
20:31:01	14629/14629	---M--	200	added ('OK')	image/png	etag:%22ced2df7236d96b0513167e9496cede7d%22	https://assets.nicepagecdn.com/c162bf5e/6237582/images/tik-tok.png	C:/Users/Armando/Desktop/eliana.github.io/aaaa/assets.nicepagecdn.com/c162bf5e/6237582/images/tik-tok.png	(from https://website6237582.nicepage.io/)
20:31:01	985747/985747	---M--	200	added ('OK')	image/jpeg	etag:%22857f438cdac3a62ce47e9a2f8be73275%22	https://assets.nicepagecdn.com/c162bf5e/6237582/images/8617a642f50cab32cf01a0d6ff20241e6a786b5ea32faba463d790b056443e51927f394bee87748567a85974f19aed61603eab6f744d34da0bbe76_1280.jpg	C:/Users/Armando/Desktop/eliana.github.io/aaaa/assets.nicepagecdn.com/c162bf5e/6237582/images/8617a642f50cab32cf01a0d6ff20241e6a786b5ea32faba463d790b056443e51927f394bee87748567a85974f19aed61603eab6f744d34da0bbe76_1280.jpg	(from https://website6237582.nicepage.io/)
20:31:02	70275/70275	---M-Z	200	added ('OK')	text/html	etag:W/%22b792163a2ed179c1beddfe612beedaa7%22	https://website6237582.nicepage.io/Famiglia.html	C:/Users/Armando/Desktop/eliana.github.io/aaaa/website6237582.nicepage.io/Famiglia.html	(from https://website6237582.nicepage.io/)
20:31:02	182320/182320	---M--	200	added ('OK')	image/jpeg	etag:%22e4492bb80a9cb1d4c3022e421d7f9992%22	https://assets.nicepagecdn.com/c162bf5e/6237582/images/ge945e5a12d2daa766cafd89d8eb9d7c28f6e1bb8645eddb9da4ed6ed5283f421a7e1b77dc5cb04469e1247f0269906d6_1280.jpg	C:/Users/Armando/Desktop/eliana.github.io/aaaa/assets.nicepagecdn.com/c162bf5e/6237582/images/ge945e5a12d2daa766cafd89d8eb9d7c28f6e1bb8645eddb9da4ed6ed5283f421a7e1b77dc5cb04469e1247f0269906d6_1280.jpg	(from https://website6237582.nicepage.io/)
20:31:02	264492/264492	---M--	200	added ('OK')	image/jpeg	etag:%22b00db074949413d9266107840378ee99%22	https://assets.nicepagecdn.com/c162bf5e/6237582/images/84ade842e7ec6bf1103c568910ef39d8dfe0b1b0501b2518c41e63dd8dc413791ca61e7272234751baa43ca189f441779e25ebb4aa4c88082746d2_1280.jpg	C:/Users/Armando/Desktop/eliana.github.io/aaaa/assets.nicepagecdn.com/c162bf5e/6237582/images/84ade842e7ec6bf1103c568910ef39d8dfe0b1b0501b2518c41e63dd8dc413791ca61e7272234751baa43ca189f441779e25ebb4aa4c88082746d2_1280.jpg	(from https://website6237582.nicepage.io/)
20:31:03	70292/70292	---M-Z	200	added ('OK')	text/html	etag:W/%2263345d2a447c626a59f90b87c8248420%22	https://website6237582.nicepage.io/Contenuti-social.html	C:/Users/Armando/Desktop/eliana.github.io/aaaa/website6237582.nicepage.io/Contenuti-social.html	(from https://website6237582.nicepage.io/)
20:31:08	70178/70178	---M-Z	200	added ('OK')	text/html	etag:W/%2208578dcf2dd6f61210f3ccd4f8e26858%22	https://website6237582.nicepage.io/Eventi.html	C:/Users/Armando/Desktop/eliana.github.io/aaaa/website6237582.nicepage.io/Eventi.html	(from https://website6237582.nicepage.io/)
20:31:09	823383/823383	---M--	200	added ('OK')	image/jpeg	etag:%22a5868cca25d4139ddf24d790acaaa266%22	https://assets.nicepagecdn.com/c162bf5e/6237582/images/pexels-fotios-photos-21364525.jpg	C:/Users/Armando/Desktop/eliana.github.io/aaaa/assets.nicepagecdn.com/c162bf5e/6237582/images/pexels-fotios-photos-21364525.jpg	(from https://website6237582.nicepage.io/Home.css)
